"metric","value"
"layer","Red River Valley Special Management Area"
"local_file","D:/Dropbox/ClaudeCode/MBOpenData/MBFloodMapping/data/rrv_special_management_area.geojson"
"local_crs_declared","WGS 84"
"local_crs_native_yml","EPSG:26914"
"remote_url","https://services.arcgis.com/mMUesHYPkXjaFGfS/arcgis/rest/services/Red_River_Valley_Special_Management_Area/FeatureServer/0"
"remote_crs_out","EPSG:4326 (service native EPSG:3857/102100)"
"remote_lastEditDate_utc","2022-01-31T14:29:47Z"
"remote_dataLastEditDate_utc","2022-01-31T14:29:47Z"
"remote_created_utc","2019-09-25T19:17:26Z"
"local_feature_count","1"
"remote_feature_count","1"
"local_geom_type","POLYGON"
"remote_geom_type","POLYGON"
"local_rings","1"
"remote_rings","1"
"local_vertices","427"
"remote_vertices","3826"
"local_valid","TRUE"
"remote_valid","TRUE"
"local_area_km2","11573.7008"
"remote_area_km2","11578.6235"
"local_area_ha","1157370.08"
"remote_area_ha","1157862.35"
"local_attr_AREA_km2","11573.7008"
"local_attr_HECTARES_ha","1157370.085"
"local_perimeter_m","725279.2"
"remote_perimeter_m","739559.1"
"local_attr_PERIMETER_m","725279.2"
"intersection_km2","11565.8410"
"union_km2","11586.4833"
"only_in_local_km2","7.859833"
"only_in_local_ha","785.98"
"only_in_local_pct_of_union","0.0678"
"only_in_remote_km2","12.782464"
"only_in_remote_ha","1278.25"
"only_in_remote_pct_of_union","0.1103"
"symmetric_difference_km2","20.642297"
"symmetric_difference_ha","2064.23"
"symmetric_difference_pct_of_union","0.1782"
"IoU_jaccard","0.998218"
"area_delta_remote_minus_local_km2","4.9226"
"area_delta_pct","0.0425"
"hausdorff_boundary_m","3062.37"
"local_vtx_to_remote_bdy_mean_m","36.52"
"local_vtx_to_remote_bdy_max_m","750.43"
"remote_vtx_to_local_bdy_mean_m","522.83"
"remote_vtx_to_local_bdy_max_m","3062.37"
"only_in_local_n_polys","218"
"only_in_remote_n_polys","218"
"only_in_local_max_poly_km2","4.801632"
"only_in_remote_max_poly_km2","4.929350"
"local_LEGISL","(none - MLI shp carries ID/AREA/PERIMETER/ACRES/HECTARES only)"
"remote_LEGISL","The Environment Act C.C.S.M. c. E125; Livestock Manure and Mortalities Management Regulation (42/98)"
"remote_NAME","Red River Valley Special Management Area"
"--- CHARACTERISATION ---",""
"diff_north_terminus_lat_gt_50.30_km2","14.8603"
"diff_north_terminus_pct_of_total_diff","72.0"
"diff_north_n_pieces","31"
"diff_north_only_local_km2","5.0964"
"diff_north_only_remote_km2","9.7638"
"diff_south_border_lat_lt_49.02_km2","1.5419"
"diff_south_border_pct_of_total_diff","7.5"
"diff_elsewhere_km2","4.2401"
"diff_elsewhere_pct_of_total_diff","20.5"
"diff_elsewhere_n_pieces","401"
"diff_elsewhere_max_single_piece_km2","0.4273"
"diff_elsewhere_median_piece_m2","608.4"
"north_pieces_gt_0.5km2","4"
"north_piece_compactness_range","0.138 - 0.284 (compact blobs)"
"north_piece_eqwidth_range_m","206.9 - 659.2"
"boundary_sep_pct_within_5m","45.69"
"boundary_sep_pct_within_25m","90.18"
"boundary_sep_pct_within_50m","96.71"
"boundary_sep_excl_north_max_m","60.47"
"boundary_sep_excl_north_median_m","5.51"
"boundary_sep_excl_north_p95_m","32.75"
"boundary_sep_north_median_m","466.66"
"boundary_sep_north_max_m","3062.37"
"south_edge_offset_mean_m","-28.81"
"south_edge_offset_range_m","-44.54 to -1.36 (remote south of local)"
"south_edge_compared_span_km","52.5"
"northernmost_lat_local","50.433056"
"northernmost_lat_remote","50.433066"
"vertices_in_lat_gt_50.30_local","57"
"vertices_in_lat_gt_50.30_remote","2476"
"--- PROVENANCE / STATUTE ---",""
"layers_yml_recorded_source","Manitoba Land Initiative (Planning Act)  [as recorded in MBFloodMapping/data/layers.yml]"
"remote_authoritative_statute","The Environment Act C.C.S.M. c. E125; Livestock Manure and Mortalities Management Regulation 42/98 amdt 219/2006"
"remote_hub_source_branch","Environmental Approvals Branch, Manitoba Government"
"remote_hub_categories","Environment"
"remote_hub_snippet_authority","land described in Plan No. 4298-2006 filed at Environmental Programs head office - the GIS polygon renders a legal description, it is not itself the legal boundary"
"statute_attribution_matches","NO - layers.yml attributes this layer to The Planning Act; the authoritative DataMB record attributes it to The Environment Act / manure management"
"mli_freeze_date","2022-02-09"
"remote_last_edit_vs_mli_freeze","remote dataLastEditDate 2022-01-31 = 9 days BEFORE the MLI freeze"
"moving_to_datamb_gains_newer_geometry","NO - both copies are 2022 vintage; DataMB gains a live host, correct statutory metadata and far higher vertex fidelity at the northern terminus, but not a newer boundary"
